ProductTitle,ProductId,SkuId,SkuTitle,Publisher,SkuDescription,UnitOfMeasure,TermDuration,BillingPlan,Market,Currency,UnitPrice,PricingTierRangeMin,PricingTierRangeMax,EffectiveStartDate,EffectiveEndDate,Tags,ERP Price,Segment
Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing,CFQ7TTC0LHV9,9,Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Operations non-production multi-box instance for standard acceptance testing (Tier 2),,P1Y,Monthly,US,USD,7290,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,8100,Charity
Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing,CFQ7TTC0LHV9,9,Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Operations non-production multi-box instance for standard acceptance testing (Tier 2),,P3Y,Monthly,US,USD,21870,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,24300,Charity
Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing,CFQ7TTC0LHV9,9,Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Operations non-production multi-box instance for standard acceptance testing (Tier 2),,P3Y,Annual,US,USD,21870,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,24300,Charity
Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing,CFQ7TTC0LHV9,9,Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Operations non-production multi-box instance for standard acceptance testing (Tier 2),,P1Y,Annual,US,USD,7290,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,8100,Charity
Dynamics 365 Operations - Sandbox Tier 4:Standard Performance Testing,CFQ7TTC0LHXZ,8,Dynamics 365 Operations - Sandbox Tier 4:Standard Performance Testing (36 mo) (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Operations non-production multi-box instance for standard performance testing. (Tier 4),,P3Y,Monthly,US,USD,127980,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,142200,Charity
Dynamics 365 Operations - Sandbox Tier 4:Standard Performance Testing,CFQ7TTC0LHXZ,8,Dynamics 365 Operations - Sandbox Tier 4:Standard Performance Testing (36 mo) (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Operations non-production multi-box instance for standard performance testing. (Tier 4),,P3Y,Annual,US,USD,127980,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,142200,Charity
Dynamics 365 Project Operations,CFQ7TTC0HD4D,000L,Dynamics 365 Project Operations Attach (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Project Operations attach license,,P1Y,Monthly,US,USD,162,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,180,Charity
Dynamics 365 Project Operations,CFQ7TTC0HD4D,000L,Dynamics 365 Project Operations Attach (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Project Operations attach license,,P3Y,Monthly,US,USD,486,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,540,Charity
Dynamics 365 Project Operations,CFQ7TTC0HD4D,000L,Dynamics 365 Project Operations Attach (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Project Operations attach license,,P3Y,Annual,US,USD,486,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,540,Charity
Dynamics 365 Project Operations,CFQ7TTC0HD4D,000L,Dynamics 365 Project Operations Attach (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Project Operations attach license,,P1Y,Annual,US,USD,162,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,180,Charity
